a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.8,13.1,0.0,-33.834282473428175,-7.976145322783848,-4.4704979569651195,1,Done,tetracene_theta=0.0_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.0,10.0,-37.734129110816866,-0.5667406765278429,-9.150161939440297,2,Done,tetracene_theta=10.0_a=6.7_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,10.0,-35.18375778873451,-8.483607639791444,-4.5541356272879066,2,Done,tetracene_theta=10.0_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,5.0,-35.72081347717904,-8.193050429574214,-4.833678154507653,1,Done,tetracene_theta=5.0_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,0.0,-36.31558251543903,-0.6078149712411687,-8.77498814323917,1,Done,tetracene_theta=0.0_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,5.0,-36.91048207553104,-0.6284462449839339,-8.913397396390794,2,Done,tetracene_theta=5.0_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.7,10.0,-38.48242725571617,-0.6914143633330241,-9.274899632262533,2,Done,tetracene_theta=10.0_a=6.5_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,0.0,-35.00050478777848,-7.950915655703285,-4.7746683690929785,1,Done,tetracene_theta=0.0_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,10.0,-36.149688951205455,-8.851555658387953,-4.61164440860739,2,Done,tetracene_theta=10.0_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,5.0,-35.377399844583124,-7.934697032440454,-4.877001444925554,1,Done,tetracene_theta=5.0_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,5.0,-36.84513318422249,-0.5666854557348415,-8.927940568188205,2,Done,tetracene_theta=5.0_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.7,10.0,-38.655271120602265,-0.6265612049028277,-9.350537177699152,2,Done,tetracene_theta=10.0_a=6.6_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.0,0.0,-36.228853102307774,-0.6748066835571079,-8.719809933798388,1,Done,tetracene_theta=0.0_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
