a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
6.0,7.3,64.0,0,2,-42.66420911694877,-5.4996745977550745,-7.916214980359657,2,Done,anthracene_A1=0_A2=2_a=6.0_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.3,64.5,0,10,-39.913785096025094,-5.501731575583109,-7.22758048621472,1,Done,anthracene_A1=0_A2=10_a=6.0_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.0,0,1,-42.76050178078003,-5.499672087724321,-7.940289401332848,2,Done,anthracene_A1=0_A2=1_a=6.0_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.2,64.5,0,5,-41.93320514727385,-5.501583483302967,-7.732509545166978,1,Done,anthracene_A1=0_A2=5_a=6.0_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,63.5,0,4,-42.16998977097683,-5.482081727590412,-7.801456578949001,1,Done,anthracene_A1=0_A2=4_a=6.0_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.5,0,3,-42.554352196399115,-5.501549597713165,-7.887813250243197,2,Done,anthracene_A1=0_A2=3_a=6.0_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.5,0,2,-42.694766343338415,-5.501535792485812,-7.9229236895916975,2,Done,anthracene_A1=0_A2=2_a=6.0_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.5,0,1,-42.78266543475911,-5.501534537412226,-7.944899089983664,2,Done,anthracene_A1=0_A2=1_a=6.0_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.4,63.5,0,10,-39.942053166683756,-5.482212249538861,-7.2444071669015075,1,Done,anthracene_A1=0_A2=10_a=6.0_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.3,63.5,0,5,-41.86569009185769,-5.482100552762859,-7.725372246582992,1,Done,anthracene_A1=0_A2=5_a=6.0_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
